# ODYSSEUS Skill-Pack-Registry  ·  name<TAB>url<TAB>kategorie<TAB>beschreibung
# Installieren:  odysseus skills --pack <name>   |   alle: odysseus skills --all-registry
# Erweitern: eine Zeile anhaengen (Tab-getrennt). Zeilen mit # werden ignoriert.
# Alle URLs per GitHub-API auf Existenz + Public-Status verifiziert (2026-07).
#
# ── Framework / Meta ────────────────────────────────────────────────
superpowers	https://github.com/obra/superpowers	framework	Jesse Vincents superpowers — Skills-Framework & SDLC-Methodik (der ist super)
superpowers-skills	https://github.com/obra/superpowers-skills	framework	Community-editierbare Skills fuer das superpowers-Plugin
superpowers-lab	https://github.com/obra/superpowers-lab	framework	Experimentelle superpowers-Skills, neue Techniken/Tools
beastmode	https://github.com/BugRoger/beastmode	framework	Agentic-Workflow-Skills fuer Claude Code (beastmode)
# ── Offiziell / Engineering ─────────────────────────────────────────
anthropics-skills	https://github.com/anthropics/skills	official	Offizielles Anthropic-Repo fuer Agent Skills (Referenz-Format)
mattpocock	https://github.com/mattpocock/skills	engineering	Matt Pococks Engineering-Skills (grill, ask-matt, tdd, research)
waza	https://github.com/tw93/Waza	engineering	Engineering-Gewohnheiten als ausfuehrbare Claude-Skills
planning-with-files	https://github.com/OthmanAdi/planning-with-files	planning	Datei-basiertes Planning fuer Agents ueber den SKILL.md-Standard
# ── Security ────────────────────────────────────────────────────────
trailofbits-skills	https://github.com/trailofbits/skills	security	Security-Research, Vuln-Detection & Audit-Skills (Trail of Bits)
ghostsecurity-skills	https://github.com/ghostsecurity/skills	security	AppSec-Skills-Sammlung fuer AI-Coding-Agents
unitone-securityskills	https://github.com/UnitOneAI/SecuritySkills	security	Security-Skills auf Basis OWASP/NIST/MITRE/CIS
ctf-skills	https://github.com/ljagiello/ctf-skills	security	Agent-Skills fuer CTF: web, pwn, crypto, RE, forensics, OSINT
awesome-skills-security	https://github.com/Eyadkelleh/awesome-skills-security	security	Pentest-Toolkit-Skills: Wordlists, Payloads, Expert-Agents
devops-security-skills	https://github.com/BagelHole/DevOps-Security-Agent-Skills	security	80+ Skills fuer DevOps, Security, Infra & Compliance
# ── Obsidian ────────────────────────────────────────────────────────
obsidian-skills	https://github.com/kepano/obsidian-skills	obsidian	Agent-Skills fuer Obsidian CLI, Markdown, Bases, JSON Canvas (kepano)
obsidian-plugin-skill	https://github.com/gapmiss/obsidian-plugin-skill	obsidian	Agent-SKILL fuer Obsidian.md Plugin-Entwicklung
obsidian-dev-skills	https://github.com/davidvkimball/obsidian-dev-skills	obsidian	Zentrale Skills fuer Obsidian Plugin- & Theme-Entwicklung
# ── Wiki / Wissen ───────────────────────────────────────────────────
llm-wiki-skills	https://github.com/yugasun/llm-wiki-skills	wiki	Cross-Plattform llm-wiki-Skill fuer SKILL.md-Agents
llm-wiki-vault	https://github.com/vanillaflava/llm-wiki-skills	wiki	Markdown-Vault zur kompoundierenden Wissens-Wiki (Karpathy-inspiriert)
# ── DevOps / Infra ──────────────────────────────────────────────────
devops-sre-skills	https://github.com/bregman-arie/devops-sre-skills	devops	SKILL.md-Library fuer DevOps/SRE-Runbooks (Claude/OpenCode)
devops-skills	https://github.com/abdullahkhawer/devops-skills	devops	Kuratiertes SKILL.md-Set fuer DevOps (AWS, Docker, K8s, Terraform)
